municipality_key,year,pv_mw,storage_mw,storage_mwh
naguabo,2030,5.405718398,2.052520209,8.210080835000001
naguabo,2035,6.487509348000001,2.7249046960000003,10.899618784000001
naguabo,2040,7.685244472999999,3.8035640720000004,15.214256288000001
naguabo,2045,11.484287457,5.0553042635,20.221217052
naguabo,2050,14.575878626000002,6.063160284,24.252641139
naranjito,2022,0.0,0.72319,2.89276
naranjito,2025,3.4942673165,1.3404477495,5.3617910040000005
naranjito,2028,4.462905059000001,1.5032776019999998,6.013110409
naranjito,2030,5.033639684,1.6627866169999999,6.651146464
naranjito,2035,6.04097034,2.246149344,8.984597379
naranjito,2040,7.1562646679999995,3.226668107,12.906672427
naranjito,2045,10.6938173325,4.3780931065,17.512372422000002
naranjito,2050,13.5726125,5.308314642,21.233258568
orocovis,2022,0.805045633,0.372835,1.49134
orocovis,2025,2.2298275419999998,0.867278599,3.4691143985000004
orocovis,2028,2.847952865,0.981111874,3.924447497
orocovis,2030,3.212160774,1.108035995,4.432143977
orocovis,2035,3.8549775459999998,1.5552782965,6.2211131815
orocovis,2040,4.566690126,2.265611423,9.062445692
orocovis,2045,6.8241397269999995,3.087752634,12.351010537
orocovis,2050,8.661210612,3.749209418,14.996837675
patillas,2022,0.0,0.62902999891,2.51611999964
patillas,2025,2.39385989275,0.91952614285,3.67810457385
patillas,2028,3.057456244,1.0320877908000001,4.1283511591
patillas,2030,3.4484563048,1.1439219183,4.5756876752
patillas,2035,4.1385604772,1.5512016284499999,6.204806509
patillas,2040,4.9026286251,2.2315476608,8.926190646
patillas,2045,7.32614253375,3.0292579032,12.11703161
patillas,2050,9.298353494,3.673438968,14.693755873
penuelas,2022,0.0,0.627792499,2.51117
penuelas,2025,2.675098178,1.0306512515000001,4.1226050055000005
penuelas,2028,3.416655942,1.159022282,4.63608913
penuelas,2030,3.853591934,1.2905421639999999,5.1621686559999995
penuelas,2035,4.6247717435,1.765199813,7.060799252500001
penuelas,2040,5.4786050500000005,2.547518122,10.190072486
penuelas,2045,8.186841093,3.4617042725000005,13.846817092
penuelas,2050,10.390753675000001,4.199238123,16.796952479
ponce,2022,19.229821803,17.791820123,71.167280489
ponce,2025,28.0576135905,20.646988896499998,82.58795558199999
ponce,2028,35.835399608,21.809436451,87.237745823
ponce,2030,40.418177674000006,23.547366070000002,94.18946429100001
ponce,2035,48.506652791,29.244438914,116.97775567400001
ponce,2040,57.462034384,37.210836087000004,148.843344372
ponce,2045,85.86721255949999,46.099099318,184.396397265
ponce,2050,108.982823105,53.173267475,212.693069869
quebradillas,2022,3.0472404300000004,0.7495057270000001,2.998022905
quebradillas,2025,5.592180758,1.1941461324999998,4.776584528000001
quebradillas,2028,6.034066096,1.3379061270000001,5.3516245069999995
quebradillas,2030,6.818477894,1.4763754759999999,5.905501909
quebradillas,2035,8.424988714,1.985385095,7.941540379
quebradillas,2040,9.024417152,2.847265741,11.389062964
quebradillas,2045,10.7776021795,3.8612109265,15.444843706
quebradillas,2050,12.109665368,4.680783699,18.723134799
rincon,2022,0.0,0.44558131349999996,1.782325257
rincon,2025,2.8850101070000003,1.1048819785,4.4195279135
rincon,2028,3.6847570689999998,1.237779153,4.951116608
rincon,2030,4.155978934999999,1.365571738,5.462286951
rincon,2035,4.9876723510000005,1.8355728930000001,7.342291571500001
rincon,2040,5.908504991,2.6319832400000003,10.527932955
rincon,2045,8.8292532545,3.569074167,14.2762966715
rincon,2050,11.206104364,4.3265636800000005,17.306254721000002
rio grande,2022,7.088701078,3.026751112,12.10700444
rio grande,2025,8.9230381185,3.4365712354999998,13.746284944500001
rio grande,2028,11.396572829,3.8637113010000004,15.454845203
rio grande,2030,12.854013358,4.299740332000001,17.198961317
rio grande,2035,15.4263551485,5.875047363,23.500189448999997
rio grande,2040,18.274395345,8.475560841,33.90224336
rio grande,2045,27.307967886500002,11.515640274999999,46.062561107
rio grande,2050,34.65932274,13.968551951999999,55.874207811000005
sabana grande,2022,2.5800434720000003,1.142045,4.56818
sabana grande,2025,3.1751359885,1.3879604335,5.551841734
sabana grande,2028,3.934043759,1.5117298950000002,6.046919584
sabana grande,2030,4.381202612,1.643949586,6.575798335
sabana grande,2035,5.170425482500001,2.115439669,8.461758673
sabana grande,2040,6.044235671,2.878447837,11.513791346
sabana grande,2045,8.8158355015,3.7659020585,15.063608235
sabana grande,2050,11.071312365999999,4.480913536999999,17.923654139
